sku,national_inv,lead_time,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop,went_on_backorder
2079946,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No,0.0,0.98,0.98,0.0,No,No,Yes,Yes,No,No
1149690,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,No,0.0,0.7,0.75,0.0,No,No,No,Yes,No,No
1511794,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,No,0.0,0.92,0.96,0.0,Yes,No,Yes,Yes,No,No
1441480,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,No,0.0,0.62,0.62,0.0,Yes,No,No,Yes,No,No
2847275,8.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,-99.0,-99.0,0.0,Yes,No,No,No,No,No
1177658,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,No,0.0,1.0,0.99,0.0,No,No,No,Yes,No,No
1589288,4.0,8.0,0.0,19.0,31.0,39.0,7.0,14.0,16.0,28.0,0.0,No,0.0,0.51,0.53,0.0,No,No,No,Yes,No,No
1271727,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.99,0.98,0.0,No,No,No,Yes,No,No
1738678,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,No,0.0,0.42,0.36,0.0,No,No,No,Yes,No,No
3159436,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.96,0.96,0.0,No,No,No,Yes,No,No
1149488,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.62,0.73,0.0,No,No,No,Yes,No,No
3025166,661.0,8.0,38.0,246.0,246.0,696.0,208.0,612.0,1067.0,1551.0,265.0,No,0.0,0.16,0.1,0.0,No,No,Yes,Yes,No,No
2860471,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.18,0.33,0.0,No,No,No,Yes,No,No
1810885,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.95,0.94,0.0,No,No,No,Yes,No,No
1917766,6.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.73,0.78,0.0,No,No,No,Yes,No,No
1313059,115.0,2.0,132.0,108.0,216.0,324.0,51.0,158.0,277.0,398.0,52.0,No,0.0,0.99,0.82,0.0,No,No,No,Yes,No,No
1844275,41.0,8.0,2.0,12.0,20.0,34.0,1.0,12.0,31.0,56.0,15.0,No,0.0,0.98,0.95,0.0,No,No,No,Yes,No,No
1246496,9.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No,0.0,0.63,0.63,0.0,Yes,No,No,Yes,No,No
1228238,5.0,8.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,No,0.0,0.19,0.16,0.0,No,No,No,Yes,No,No
1117856,49.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,No,0.0,0.93,0.91,0.0,No,No,No,Yes,No,No
1459924,124.0,8.0,0.0,0.0,0.0,0.0,0.0,5.0,18.0,23.0,1.0,No,0.0,0.92,0.94,0.0,No,No,No,Yes,No,No
1527832,27.0,8.0,0.0,0.0,8.0,24.0,10.0,21.0,45.0,63.0,7.0,No,0.0,0.96,0.93,0.0,No,No,No,Yes,No,No
1796992,601.0,8.0,187.0,522.0,1069.0,1710.0,177.0,590.0,1143.0,1773.0,203.0,No,20.0,0.95,0.97,0.0,No,No,No,Yes,No,No
1521596,52.0,4.0,0.0,0.0,35.0,105.0,14.0,34.0,69.0,103.0,3.0,No,0.0,0.91,0.9,0.0,No,No,No,Yes,No,No
3224825,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,No,0.0,1.0,0.98,0.0,No,No,No,Yes,No,No
1130967,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,No,0.0,0.95,0.97,0.0,No,No,No,Yes,No,No
1262995,28.0,8.0,0.0,64.0,128.0,192.0,23.0,136.0,257.0,352.0,35.0,No,0.0,0.98,0.93,0.0,No,No,No,Yes,No,No
3036190,0.0,12.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.73,0.79,0.0,No,No,No,Yes,No,No
1285770,6.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,No,0.0,0.48,0.39,0.0,No,No,Yes,Yes,No,No
3270795,93.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,No,0.0,0.96,0.88,0.0,No,No,No,Yes,No,No
